Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	fix	easier	series	re	wasn	service	needed	person	tech	came	best	asked	much	life	things	had	easy	possible	right	old	people	support	happy	inside	later	time	team	love	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	note	take	drive	ways	going	where	many	photos	former	technology	being	around	world	power	favorite	side	her	am	having	tv	th	large	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	try	major	number	self	also	play	microsoft	set	see	project	available	last	let	whole	blog	recent	amp	readers	parents	couple	d	continue	anything	into	link	line	us	ago	results	video	great	makes	tools	next	process	high	move	perfect	doing	books	could	start	system	lot	device	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	five	become	does	problem	chance	worked	worth	told	search	work	interview	after	law	order	office	then	them	network	another	do	away	launched	hand	photo	thanks	night	post	months	way	update	together	change	live	car	write	product	use	remember	still	non	half	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	real	read	early	using	business	your	trying	since	month	very	learned	family	put	takes	site	history	help	soon	actually	event	reason	ask	mobile	clear	latest	pretty	during	x	close	won	probably	both	along	else	look	while	ready	used	user	march	game	popular	some	run	step	within	doesn	go	facebook	click	products	started	point	links	including	keep	art	long	data	exactly	need	based	she	well	page	twitter	home	noticed	he	display	friends	companies	likely	even	ever	never	call	tell	give	amazing	answer	before	personal	better	weeks	went	content	isn	matter	don	m	bad	said	against	appeared	three	website	if	make	left	human	yes	yet	save	deal	dead	super	down	finally	did	making	may	man	maybe	talk	nbsp	interesting	thing	think	first	little	anyone	were	potential	show	behind	black	get	morning	enough	reading	across	those	sound	different	pay	same	running	money	either	videos	youtube	again	important	u	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	build	most	services	find	please	simple	create	itself	spend	big	bit	google	often	back	single	entire	others	control	stories	ll	day	announced	text	taking	value	almost	com	thought	add	happens	buy	minutes	special	starting	under	every	path	changes	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	amazon	report	news	games	quickly	pick	able	everything	head	hear	check	no	cool	level	posts	says	goes	water	today	name	turn	place	white	any	ideas	sure	state	college	come	case	myself	someone	events	week	without	seems	there	far	list	design	version	known	short	might	friday	feel	story	kind	nothing	his	him	wrote	recently	became	reasons	questions	customers	question	called	say	nice	users	once	apple	heart	app	few	something	six	instead	related	our	york	their	which	who	why	thousands	words	view	april	will	gets	other	know	because	lead	getting	own	apps	made	whether	book
Online Marketing Report	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	2	0	0	3	7	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0
Creating Passionate Users	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	4	0	0	2	1	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	1	0	2	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	5	0	0	0	5	1	1	0	0	0	1	0	0	1	2	1	0	1	0	1	2	0	1	0	0	0	0	1	1	0	0	0
Bloggers Blog	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	1	2	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0
Joho the Blog	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	2	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	1	0	0	2	0	2	0	0	0	2	0	0	0	1	0
Derek Powazek	0	1	0	6	1	0	0	0	0	1	0	1	1	0	0	7	1	0	0	0	1	1	1	0	1	5	1	3	2	1	4	2	2	0	4	0	1	4	0	1	0	1	0	5	1	1	1	0	0	1	0	0	0	1	0	1	4	0	1	2	0	0	0	1	3	0	0	0	9	3	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	4	1	2	1	0	1	1	2	0	0	0	3	0	1	7	1	0	1	0	0	2	2	4	2	4	1	4	2	0	4	2	0	0	5	0	0	1	1	1	0	1	1	0	1	0	0	1	0	1	0	1	2	0	1	0	11	0	1	1	1	0	0	0	0	1	1	0	0	0	3	0	4	0	0	0	7	2	1	3	7	1	0	1	0	0	2	3	2	0	1	1	1	2	1	3	1	0	0	4	0	0	10	4	0	0	0	2	0	2	0	1	4	0	1	2	2	0	0	1	1	1	6	0	1	0	1	0	1	1	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	2	1	1	0	1	0	1	0	0	0	0	3	0	0	0	0	4	0	0	0	2	0	0	0	0	0	1	0	1	1	0	7	2	1	1	0	1	5	0	2	0	0	1	1	3	1	0	0	2	1	1	0	0	2	3	1	0	0	4	12	3	3	1	0	4	0	9	1	1	0	1	1	0	1	2	0	2	0	4	0	0	1	1	3	0	0	4	4	3	7	0	2	0	3	0	1	6	2	5	4	0	1	0	0	0	3	0	3	0	0	1	2	0	0	0	9	1	0	1	1	1	1	0	3	0	1	0	2	0	2	0	1	0	1	2	2	0	1	0	0	2	2	1	0	0	0	1	4	2	1	0	1	0	1	1	1	0	1	1	1	2	0	1	3	0	0	0	0	1	15	22	1	0	5	2	1	1	0	0	4	1	2	2	3	0	1	0	0	1	0	0	0	1	2	0	0	0	2	2	0	0	0	2	0	2	0	0	0	1	0	0	1	0	0	3	0	0	0	0	3	0	0	7	0	0	1	0	0	1	1	2	5	3	1	0	3	2	1	0	1	0	1	0	0	0	3	2	0	2	0	0	0	5	8	2	0	0	3	0	4	2	1	1	0	0	0	0	5	2	3	6	3	0	2	2	0	2	0	6
Jeremy Zawodny's blog	1	2	3	6	0	0	0	4	0	3	0	5	0	1	1	5	2	2	2	2	0	1	2	4	4	1	5	17	0	2	5	0	6	0	2	1	2	23	3	0	4	2	3	8	3	11	2	0	1	0	0	2	4	3	0	0	8	8	3	5	1	0	4	3	1	0	2	1	1	4	5	0	0	2	5	0	3	0	1	1	1	2	0	1	0	1	1	12	4	0	2	0	7	0	1	4	10	0	2	2	0	1	3	2	0	0	0	2	13	0	2	9	0	14	28	6	1	0	2	4	2	5	0	6	0	1	2	1	13	1	1	7	1	1	3	6	0	1	2	3	7	0	5	1	0	0	0	3	2	2	3	0	2	1	6	0	11	0	0	1	16	7	4	4	6	4	0	3	0	2	2	2	0	13	0	2	1	0	0	2	1	10	3	4	2	0	5	2	0	0	0	4	0	0	0	7	2	0	0	1	1	1	3	0	4	4	13	3	7	0	16	2	0	2	0	1	0	5	1	1	0	1	1	0	3	0	1	2	3	0	0	6	4	5	1	0	6	2	1	0	0	0	0	22	1	1	0	1	9	0	0	0	1	4	0	0	2	0	10	4	2	5	0	2	7	0	1	1	3	9	0	0	0	2	4	3	3	1	0	3	0	0	12	0	2	2	6	1	0	1	1	6	0	2	1	3	1	0	18	4	4	0	0	2	0	0	0	0	25	1	7	1	5	0	3	3	0	3	3	3	13	2	2	24	0	0	4	0	16	0	2	4	8	2	0	1	0	3	1	0	3	2	0	0	4	0	2	6	0	0	3	2	6	4	0	5	2	0	0	0	1	8	0	2	3	0	0	1	0	0	11	0	2	16	1	3	3	2	1	8	8	0	0	1	7	0	0	0	0	2	3	4	0	0	0	1	3	3	8	0	3	17	21	3	5	9	0	5	8	1	0	0	1	4	5	6	1	1	0	0	0	0	1	1	0	2	1	1	2	5	1	0	0	0	0	13	3	3	4	1	0	2	0	3	0	0	1	1	3	0	0	4	1	3	19	2	1	0	0	1	3	2	0	1	0	0	0	10	4	1	2	0	0	1	2	0	2	6	3	2	1	0	1	0	13	7	0	3	1	22	0	13	9	5	5	0	0	1	0	12	1	8	5	6	4	6	0	0	7	0	1
@ProBlogger	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	3	1	1	1	0	0	0	1	4	0	0	0	1	5	1	7	2	2	0	4	0	0	4	0	0	1	0	1	0	2	0	0	2	3	5	1	0	0	1	2	4	0	0	0	0	0	0	0	0	1	2	0	4	0	2	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	2	2	37	0	0	2	0	0	4	0	1	2	0	0	2	0	0	1	3	0	3	7	0	0	0	1	1	0	2	1	0	1	0	0	0	3	0	1	0	0	5	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	1	0	1	0	1	3	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	2	0	0	0	2	0	7	0	0	0	0	0	1	0	1	0	0	1	6	25	0	0	0	0	0	0	2	0	0	0	2	0	0	11	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	1	0	0	1	0	3	2	2	0	0	0	1	4	0	0	0	0	2	8	0	1	2	1	0	0	0	0	0	0	6	2	0	0	0	1	2	0	0	0	0	0	4	1	0	0	0	0	0	1	0	2	3	4	0	1	0	1	1	1	6	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	2	2	0	2	1	2	0	0	1	6	1	0	0	2	3	1	2	0	2	5	0	0	2	0	0	1	3	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	5	11	0	0	2	0	0	1	5	0	0	0	6	2	0	0	0	0	0	0	0	1	1	1	0	0	2	1	1	0	2	3	0	0	0	2	0	0	0	1	1	3	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	1	0	2	5	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	6	4	1	2	0	0	0	0	2	3	1	0	4	0	0	0	1	0
Captain's Quarters	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	3	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	2	2	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	1	0	0	1	1	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	2	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	6	0	1	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0
plasticbag.org	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	4	1	0	0	0	3	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	2	0	1	5	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	3	0	3	2	0	0	0	0	1	1	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	2	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	6	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	6	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	2	1	1	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	3	1	0	0	0	0	0	2	0	0	2	0	0	1	0	0	1	0	0
ThinkProgress	0	0	3	0	2	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	1	0	4	5	0	0	2	0	0	0	1	0	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	4	0	2	3	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	20	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	20	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	3	2	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	2	1	0	0	0	1	2	0	2	3	0	0	0	0	1	0	0
blog maverick	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	4	0	1	0	0	0	3	4	0	0	1	5	1	0	0	0	0	2	0	1	0	0	3	1	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	3	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	2	0	1	0	0	3	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	7	0	1	2	0	0	1	0	0	0	0	0	1	1	0	2	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	2	0	1	1	2	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	1	3	0	0	0	0	1	0	0	3	1	0	1	0	0	1	0	1
gapingvoid: "cartoons drawn on the back of business cards"	1	0	0	6	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	1	1	0	0	1	2	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	4	1	0	2	3	2	0	0	1	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	2	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	1	0	0	0	0	3	0	0	1	0	0	1	2	1	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	2	1	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	7	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	1	1	1	1	1	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	2	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	4
